Assemblies                                    final.contigs
Alcanivorax_jadensis_T9                       0            
Dehalogenimonas_lykanthroporepellens_BL-DC-9  -            
Flavobacterium_sp._SCGC_AAA160-P02            0            
Formosa_algae                                 0            
Ilumatobacter_fluminis                        0            
Janibacter_sp._HTCC2649                       40848        
Lautropia_mirabilis_ATCC_51599                0            
Legionella_santicrucis                        0            
Luminiphilus_syltensis_NOR5-1B                0            
Marinimicrobium_agarilyticum_DSM_16975        0            
Melissococcus_plutonius_DAT561                -            
Methanococcoides_methylutens                  -            
Microbulbifer_yueqingensis                    0            
Oceanicola_granulosus_HTCC2516                0            
Planctomyces_brasiliensis_DSM_5305            0            
Planctomyces_maris_DSM_8797                   13115        
Rhodobacteraceae_bacterium_KLH11              0            
Ruegeria_pomeroyi                             0            
Serratia_symbiotica                           0            
Sporosarcina_sp._EUR3_2.2.2                   -            
Synechococcus_sp._WH_7803                     16872        
Syntrophus_aciditrophicus                     11770        
Thalassolituus_oleivorans_R6-15               0            
Thalassospira_xiamenensis_M-5___DSM_17429     0            
Thermoplasmatales_archaeon_A-plasma           -            
gamma_proteobacterium_SCGC_AB-629-P17         16924        
marine_gamma_proteobacterium_HTCC2080         0            
